36          -105.08991066   33.04755392  0.000000E+00 -2.108351534109E+01 -2.108351534109E+01 -2.143411023281E+01  2.998382827748E+01  2.997533062950E+01  3.649120281128E+01  3.645787274548E+01 -1.596367581271E+02  9.819865307397E+05  6.256049965899E+07  9.795999815551E+05  6.263664518678E+07  1.612426318144E+03  1.633860428376E+03  9.795699977268E+05  9.795699977268E+05  1.199951645701E+01  1.199069511181E+01  4.600365092801E-01
37          -105.08984224   33.04755708  0.000000E+00 -2.108388764003E+01 -2.108388764003E+01 -2.143443170192E+01  2.997110620147E+01  2.996260137084E+01  3.647859564282E+01  3.644525796028E+01 -1.596351573580E+02  9.819865181044E+05  6.256049966078E+07  9.795999690940E+05  6.263664518313E+07  1.612300539605E+03  1.633734971307E+03  9.795699979878E+05  9.795699979879E+05  1.200000298341E+01  1.199116235965E+01  4.605246356974E-01
38          -105.08977381   33.04756025  0.000000E+00 -2.108426001103E+01 -2.108426001103E+01 -2.143475323660E+01  2.995838174460E+01  2.994986973029E+01  3.646598611642E+01  3.643264081536E+01 -1.596335561092E+02  9.819865054669E+05  6.256049966259E+07  9.795999566314E+05  6.263664517948E+07  1.612174732356E+03  1.633609485593E+03  9.795699982497E+05  9.795699982497E+05  1.200048830928E+01  1.199162916760E+01  4.610128328540E-01
39          -105.08970538   33.04756341  0.000000E+00 -2.108463239482E+01 -2.108463239482E+01 -2.143507478689E+01  2.994565741297E+01  2.993713821781E+01  3.645337671898E+01  3.642002380243E+01 -1.596319544780E+02  9.819864928293E+05  6.256049966438E+07  9.795999441681E+05  6.263664517584E+07  1.612048897597E+03  1.633483972384E+03  9.795699985107E+05  9.795699985107E+05  1.200097243475E+01  1.199209530828E+01  4.615008637339E-01
40          -105.08963695   33.04756657  0.000000E+00 -2.108500479387E+01 -2.108500479387E+01 -2.143539635428E+01  2.993293287723E+01  2.992440650214E+01  3.644076712206E+01  3.640740659101E+01 -1.596303525344E+02  9.819864801915E+05  6.256049966617E+07  9.795999317046E+05  6.263664517219E+07  1.611923044138E+03  1.633358440492E+03  9.795699987717E+05  9.795699987717E+05  1.200145654068E+01  1.199256086310E+01  4.619888131063E-01
41          -105.08956852   33.04756972  0.000000E+00 -2.108537720567E+01 -2.108537720567E+01 -2.143571793723E+01  2.992020846868E+01  2.991167491642E+01  3.642815765676E+01  3.639478951345E+01 -1.596287502084E+02  9.819864675535E+05  6.256049966795E+07  9.795999192403E+05  6.263664516854E+07  1.611797163286E+03  1.633232881224E+03  9.795699990319E+05  9.795699990319E+05  1.200193983998E+01  1.199302575074E+01  4.624765962275E-01
42          -105.08950010   33.04757288  0.000000E+00 -2.108574958084E+01 -2.108574958084E+01 -2.143603949186E+01  2.990748536984E+01  2.989894464199E+01  3.641554948928E+01  3.638217373592E+01 -1.596271478771E+02  9.819864549171E+05  6.256049966974E+07  9.795999067783E+05  6.263664516489E+07  1.611671291255E+03  1.633107330747E+03  9.795699992929E+05  9.795699992929E+05  1.200242193919E+01  1.199349006983E+01  4.629643151780E-01
43          -105.08943167   33.04757604  0.000000E+00 -2.108612202551E+01 -2.108612202551E+01 -2.143636111047E+01  2.989476022499E+01  2.988621232139E+01  3.640293929763E+01  3.636955593358E+01 -1.596255449958E+02  9.819864422787E+05  6.256049967153E+07  9.795998943141E+05  6.263664516124E+07  1.611545381726E+03  1.632981742837E+03  9.795699995539E+05  9.795699995539E+05  1.200290441256E+01  1.199395386725E+01  4.634520199365E-01
44          -105.08936325   33.04757920  0.000000E+00 -2.108649443104E+01 -2.108649443104E+01 -2.143668269920E+01  2.988203672292E+01  2.987348164590E+01  3.639033073615E+01  3.635693976434E+01 -1.596239420394E+02  9.819864296419E+05  6.256049967332E+07  9.795998818516E+05  6.263664515760E+07  1.611419472299E+03  1.632856154998E+03  9.795699998149E+05  9.795699998149E+05  1.200338686653E+01  1.199441701495E+01  4.639395757644E-01
45          -105.08929482   33.04758236  0.000000E+00 -2.108686690604E+01 -2.108686690604E+01 -2.143700435188E+01  2.986931117590E+01  2.986074892568E+01  3.637772015175E+01  3.634432157171E+01 -1.596223385329E+02  9.819864170030E+05  6.256049967511E+07  9.795998693871E+05  6.263664515395E+07  1.611293525372E+03  1.632730529723E+03  9.795700000759E+05  9.795700000760E+05  1.200386733364E+01  1.199487964082E+01  4.644271173378E-01
46          -105.08922639   33.04758552  0.000000E+00 -2.108723939617E+01 -2.108723939617E+01 -2.143732602158E+01  2.985658542833E+01  2.984801600675E+01  3.636510937177E+01  3.633170318504E+01 -1.596207347137E+02  9.819864043640E+05  6.256049967690E+07  9.795998569224E+05  6.263664515030E+07  1.611167559744E+03  1.632604885766E+03  9.795700003369E+05  9.795700003370E+05  1.200434817501E+01  1.199534168089E+01  4.649145772828E-01
47          -105.08915797   33.04758867  0.000000E+00 -2.108761184462E+01 -2.108761184462E+01 -2.143764765980E+01  2.984386165767E+01  2.983528506825E+01  3.635250055538E+01  3.631908676596E+01 -1.596191307494E+02  9.819863917267E+05  6.256049967867E+07  9.795998444588E+05  6.263664514665E+07  1.611041585707E+03  1.632479233367E+03  9.795700005971E+05  9.795700005972E+05  1.200482781672E+01  1.199580299025E+01  4.654018036438E-01
48          -105.08908955   33.04759183  0.000000E+00 -2.108798431064E+01 -2.108798431064E+01 -2.143796931653E+01  2.983113735713E+01  2.982255359970E+01  3.633989121408E+01  3.630646982225E+01 -1.596175265425E+02  9.819863790891E+05  6.256049968046E+07  9.795998319955E+05  6.263664514300E+07  1.610915601517E+03  1.632353570834E+03  9.795700008581E+05  9.795700008582E+05  1.200530783271E+01  1.199626379528E+01  4.658890330004E-01
49          -105.08902112   33.04759499  0.000000E+00 -2.108835684607E+01 -2.108835684607E+01 -2.143829103718E+01  2.981841101448E+01  2.980982008931E+01  3.632727985270E+01  3.629385085804E+01 -1.596159217852E+02  9.819863664495E+05  6.256049968225E+07  9.795998195302E+05  6.263664513935E+07  1.610789579822E+03  1.632227870859E+03  9.795700011192E+05  9.795700011192E+05  1.200578546892E+01  1.199672407816E+01  4.663762479768E-01
50          -105.08895270   33.04759814  0.000000E+00 -2.108872933974E+01 -2.108872933974E+01 -2.143861272628E+01  2.980568665123E+01  2.979708856194E+01  3.631467045793E+01  3.628123386400E+01 -1.596143168826E+02  9.819863538115E+05  6.256049968402E+07  9.795998070660E+05  6.263664513570E+07  1.610663549810E+03  1.632102162537E+03  9.795700013793E+05  9.795700013794E+05  1.200626387296E+01  1.199718363066E+01  4.668632293911E-01
51          -105.08888427   33.04760130  0.000000E+00 -2.108910190528E+01 -2.108910190528E+01 -2.143893448081E+01  2.979295991530E+01  2.978435466101E+01  3.630205871215E+01  3.626861451850E+01 -1.596127114996E+02  9.819863411715E+05  6.256049968581E+07  9.795997946003E+05  6.263664513205E+07  1.610537490746E+03  1.631976425227E+03  9.795700016404E+05  9.795700016404E+05  1.200674186454E+01  1.199764274211E+01  4.673502809551E-01
52          -105.08881585   33.04760446  0.000000E+00 -2.108947443150E+01 -2.108947443150E+01 -2.143925620531E+01  2.978023482818E+01  2.977162241136E+01  3.628944860310E+01  3.625599681220E+01 -1.596111060417E+02  9.819863285332E+05  6.256049968760E+07  9.795997821362E+05  6.263664512840E+07  1.610411431794E+03  1.631850687999E+03  9.795700019014E+05  9.795700019014E+05  1.200721826355E+01  1.199810120460E+01  4.678371835162E-01
53          -105.08874743   33.04760761  0.000000E+00 -2.108984697024E+01 -2.108984697024E+01 -2.143957794515E+01  2.976750987855E+01  2.975889030185E+01  3.627683863598E+01  3.624337924987E+01 -1.596095002007E+02  9.819863158946E+05  6.256049968937E+07  9.795997696714E+05  6.263664512475E+07  1.610285345808E+03  1.631724923753E+03  9.795700021616E+05  9.795700021616E+05  1.200769543040E+01  1.199855900031E+01  4.683239198014E-01
54          -105.08867901   33.04761077  0.000000E+00 -2.109021952645E+01 -2.109021952645E+01 -2.143989970344E+01  2.975478440295E+01  2.974615766621E+01  3.626422814786E+01  3.623076116680E+01 -1.596078941171E+02  9.819863032559E+05  6.256049969116E+07  9.795997572070E+05  6.263664512111E+07  1.610159249491E+03  1.631599149194E+03  9.795700024226E+05  9.795700024226E+05  1.200817061151E+01  1.199901629166E+01  4.688106588624E-01
55          -105.08861059   33.04761392  0.000000E+00 -2.109059209513E+01 -2.109059209513E+01 -2.144022147703E+01  2.974205906643E+01  2.973342517240E+01  3.625161780256E+01  3.621814322938E+01 -1.596062876503E+02  9.819862906170E+05  6.256049969294E+07  9.795997447418E+05  6.263664511746E+07  1.610033126198E+03  1.631473347675E+03  9.795700026828E+05  9.795700026828E+05  1.200864616717E+01  1.199947291629E+01  4.692972316402E-01
56          -105.08854217   33.04761708  0.000000E+00 -2.109096468126E+01 -2.109096468126E+01 -2.144054326905E+01  2.972933320446E+01  2.972069215374E+01  3.623900693750E+01  3.620552477249E+01 -1.596046809410E+02  9.819862779778E+05  6.256049969472E+07  9.795997322770E+05  6.263664511381E+07  1.609906992517E+03  1.631347535786E+03  9.795700029438E+05  9.795700029438E+05  1.200912170399E+01  1.199992903655E+01  4.697838071198E-01
57          -105.08847375   33.04762023  0.000000E+00 -2.109133727982E+01 -2.109133727981E+01 -2.144086507633E+01  2.971660748408E+01  2.970795927860E+01  3.622639621756E+01  3.619290646294E+01 -1.596030738482E+02  9.819862653386E+05  6.256049969650E+07  9.795997198114E+05  6.263664511016E+07  1.609780831919E+03  1.631221696995E+03  9.795700032040E+05  9.795700032040E+05  1.200959525544E+01  1.200038449012E+01  4.702702163094E-01
58          -105.08840533   33.04762338  0.000000E+00 -2.109170989328E+01 -2.109170989328E+01 -2.144118690044E+01  2.970388157291E+01  2.969522621398E+01  3.621378531147E+01  3.618028796847E+01 -1.596014664425E+02  9.819862526991E+05  6.256049969827E+07  9.795997073457E+05  6.263664510651E+07  1.609654652683E+03  1.631095839583E+03  9.795700034641E+05  9.795700034642E+05  1.201006918152E+01  1.200083935819E+01  4.707565436820E-01
59          -105.08833691   33.04762654  0.000000E+00 -2.109208252414E+01 -2.109208252414E+01 -2.144150874292E+01  2.969115513860E+01  2.968249262645E+01  3.620117388756E+01  3.616766895647E+01 -1.595998587942E+02  9.819862400594E+05  6.256049970006E+07  9.795996948803E+05  6.263664510286E+07  1.609528462969E+03  1.630969971712E+03  9.795700037252E+05  9.795700037252E+05  1.201054269561E+01  1.200129372187E+01  4.712428736461E-01
60          -105.08826849   33.04762969  0.000000E+00 -2.109245516737E+01 -2.109245516737E+01 -2.144183060062E+01  2.967842884765E+01  2.966975918498E+01  3.618856261145E+01  3.615505009432E+01 -1.595982507624E+02  9.819862274195E+05  6.256049970183E+07  9.795996824142E+05  6.263664509921E+07  1.609402246428E+03  1.630844077028E+03  9.795700039854E+05  9.795700039854E+05  1.201101461800E+01  1.200174741894E+01  4.717290373087E-01
61          -105.08820007   33.04763284  0.000000E+00 -2.109282782545E+01 -2.109282782545E+01 -2.144215247510E+01  2.966570236822E+01  2.965702555626E+01  3.617595115077E+01  3.614243104947E+01 -1.595966424175E+02  9.819862147795E+05  6.256049970360E+07  9.795996699479E+05  6.263664509555E+07  1.609276011248E+03  1.630718163723E+03  9.795700042455E+05  9.795700042456E+05  1.201148573535E+01  1.200220053053E+01  4.722151190944E-01
62          -105.08813165   33.04763600  0.000000E+00 -2.109320050088E+01 -2.109320050088E+01 -2.144247436792E+01  2.965297536743E+01  2.964429140658E+01  3.616333917442E+01  3.612981148902E+01 -1.595950338300E+02  9.819862021392E+05  6.256049970539E+07  9.795996574819E+05  6.263664509190E+07  1.609149765502E+03  1.630592239870E+03  9.795700045066E+05  9.795700045066E+05  1.201195762069E+01  1.200265313771E+01  4.727012033616E-01
63          -105.08806323   33.04763915  0.000000E+00 -2.109357318862E+01 -2.109357318862E+01 -2.144279627590E+01  2.964024851302E+01  2.963155740550E+01  3.615072734817E+01  3.611719208094E+01 -1.595934248588E+02  9.819861894988E+05  6.256049970716E+07  9.795996450153E+05  6.263664508825E+07  1.609023493017E+03  1.630466289293E+03  9.795700047667E+05  9.795700047668E+05  1.201242870106E+01  1.200310507835E+01  4.731871213154E-01
