lon,lat,FAA,SMW,TC,Faye,Disturbing_potential,Undulation,Cogeoid,Geoid
-106,32.91,-18.7310494417834,-33.45717208151473,-10.11395174918619,-23.34322033232853,3385471.983967862,3.456119743809105,-17.8258400522029,-17.98864882665936
-106,32.92,-18.16745941133559,-33.41969315607275,-5.624556824443552,-27.7951363316292,3375861.403407184,3.446305710436916,-17.85801569269808,-17.93139003436157
-106,32.93,-17.63147747601761,-33.40695847245661,-0.9640795723324047,-32.44287890012421,3371063.263057327,3.4414045506856,-17.8855616755834,-17.98970632225746
-106,32.94,-17.1249680316032,-33.42043366580765,-1.828487010784795,-31.59194665502286,3371005.34331927,3.441342525667631,-17.90853934177837,-16.00411265139458
-106,32.95,-16.64873741674091,-33.46069663636445,-0.606973536955478,-32.85372309940897,3375931.26936802,3.446368331451969,-17.92668722503704,-17.13923087724661
-106,32.96,-16.20288082015759,-33.52781336916814,-16.92292904391785,-16.60488432525029,3386577.544676532,3.457233824791476,-17.93924035062952,-18.19797566249649
-106,32.97,-15.78686694346834,-33.62147774374171,-8.700105748393423,-24.92137199534828,3403101.511756727,3.474099616042734,-17.94602466735826,-18.14478175119305
-106,32.98,-15.39831162165501,-33.73990127984143,-0.8250632580819902,-32.91483802175944,3425015.75714128,3.496468108199775,-17.94752403397222,-17.84050486901068
-106,32.99,-15.02707308303798,-33.87420301635575,-0.7871408277772943,-33.08706218857846,3451120.969553371,3.523114957187294,-17.9449487847737,-18.05341070073544
-106,33,-14.65590561196586,-34.0103174459,-1.180390171661546,-32.82992727423846,3480567.124197711,3.553172395713698,-17.9391524320883,-18.26691327215164
-106,33.01,-14.50210325218359,-34.38103868196777,-1.243798157979596,-33.13724052398817,3512960.348981442,3.58623832714841,-17.9305225990876,-17.97387356287794
-106,33.02,-14.36040160194534,-34.76851409504889,-1.037232380824158,-33.73128171422473,3547855.790506927,3.621858611517216,-17.91949876081378,-18.30963929601731
-106,33.03,-14.18795997907728,-35.12199195680296,-1.008825629639552,-34.11316632716341,3585434.369424491,3.660217936569466,-17.90588140044053,-18.05082799665563
-106,33.04,-14.00833455807879,-35.46262679172651,-1.735790257998747,-33.72683653372776,3626987.682857921,3.702634830996362,-17.88833702359964,-17.93691539785319
-106,33.05,-13.82376263498736,-35.79110004944232,-68.10297551421669,32.31187546477437,3670845.329359678,3.747404045376696,-17.8685558051943,-17.82499110738193
-106,33.06,-13.62922607656219,-36.10128999852896,-104.2803929063929,68.17910290786392,3713627.944743173,3.791075732845785,-17.84997243662522,-17.28462869632987
-106,33.07,-13.41564983389981,-36.38338615139946,-69.12044741899751,32.73706126759805,3754538.980459618,3.832836736263962,-17.83338486662204,-18.16818564877451
-106,33.08,-13.16810247010289,-36.62219828006346,-58.30601277130426,21.6838144912408,3793339.186399866,3.872442821186711,-17.81902209631829,-17.91970546250023
