lat,lon,gravity_anomaly
64.55,-155.25,11.173964480864
64.55,-155,11.317322508417
64.55,-154.75,11.459597756061
64.55,-154.5,11.60274167856
64.55,-154.25,11.748787076766
64.55,-154,11.899813083298
64.55,-153.75,12.057907862437
64.55,-153.5,12.225129608636
64.55,-153.25,12.40346647575
64.55,-153,12.594796106856
64.55,-152.75,12.800845461495
64.55,-152.5,13.023151652573
64.55,-152.25,13.263024508764
64.55,-152,13.521511569571
64.55,-151.75,13.799366199328
64.55,-151.5,14.097019473381
64.55,-151.25,14.414556444893
64.55,-151,14.751697344633
64.55,-150.75,15.107784199503
64.55,-150.5,15.481773279295
64.55,-150.25,15.872233696351
64.55,-150,16.277352390587
64.55,-149.75,16.694945634176
64.55,-149.5,17.122477087435
64.55,-149.25,17.557082331758
64.55,-149,17.995599698396
64.55,-148.75,18.434607105189
64.3,-159,8.411655430912999
64.3,-158.75,8.702133716493
64.3,-158.5,8.985663091082001
64.3,-158.25,9.260994642719
64.3,-158,9.527036247334001
64.3,-157.75,9.782880888648002
64.3,-157.5,10.027832390898
64.3,-157.25,10.26142796384
64.3,-157,10.48345700779
64.3,-156.75,10.693975685996
64.3,-156.5,10.89331684137
64.3,-156.25,11.082094913296
64.3,-156,11.26120559662
64.3,-155.75,11.431820077432
64.3,-155.5,11.595373777328
64.3,-155.25,11.753549637802
64.3,-155,11.908256077463
64.3,-154.75,12.061599855217
64.3,-154.5,12.215854170575
64.3,-154.25,12.373422426135
64.3,-154,12.536798165368
64.3,-153.75,12.708521779527
64.3,-153.5,12.891134649366
64.3,-153.25,13.087131448997
64.3,-153,13.29891138955
64.3,-152.75,13.528729218294
64.3,-152.5,13.778646813726
64.3,-152.25,14.050486228287
64.3,-152,14.345785027447
64.3,-151.75,14.66575475668
64.3,-151.5,15.011243336616
64.3,-151.25,15.382702141405
64.3,-151,15.780158456939
64.3,-150.75,16.203193944473
64.3,-150.5,16.650929652554
64.3,-150.25,17.122018027012
64.3,-150,17.614642266474
64.3,-149.75,18.126523260862
64.3,-149.5,18.654934234285
64.3,-149.25,19.19672309332
64.3,-149,19.74834235875799
64.3,-148.75,20.305886435283
64.05,-159,8.935588050994001
64.05,-158.75,9.248240690855997
64.05,-158.5,9.554337408264001
64.05,-158.25,9.852308918190001
64.05,-158,10.14075324715
64.05,-157.75,10.418472242103
64.05,-157.5,10.684505171619
64.05,-157.25,10.938158679895
64.05,-157,11.179032410087
64.05,-156.75,11.407039682477
64.05,-156.5,11.6224226941
64.05,-156.25,11.825761798173
64.05,-156,12.017978522459
64.05,-155.75,12.200332093847
64.05,-155.5,12.374409350098
64.05,-155.25,12.542108036936
64.05,-155,12.705613607493
64.05,-154.75,12.867369759471
64.05,-154.5,13.030043061333
