lat,lon,height_anomaly
65.05,-152.25,10.61890991609
65.05,-152,10.702876859131
65.05,-151.75,10.817233693899
65.05,-151.5,10.941836455719
65.05,-151.25,11.051664275882
65.05,-151,11.1241082757
65.05,-150.75,11.145689467956
65.05,-150.5,11.116124196461
65.05,-150.25,11.048509207902
65.05,-150,10.965628270659
65.05,-149.75,10.893585828662
65.05,-149.5,10.854766717625
65.05,-149.25,10.862262022841
65.05,-149,10.917362319979
65.05,-148.75,11.010691627064
64.8,-159,10.014145495363
64.8,-158.75,9.917256372405001
64.8,-158.5,9.770458467541999
64.8,-158.25,9.612487544416002
64.8,-158,9.484937999956001
64.8,-157.75,9.421805036828001
64.8,-157.5,9.440755974213999
64.8,-157.25,9.538785771488
64.8,-157,9.693652550420001
64.8,-156.75,9.870728586762
64.8,-156.5,10.033211251978
64.8,-156.25,10.15258278116
64.8,-156,10.216149762056
64.8,-155.75,10.229459829179
64.8,-155.5,10.213062047505
64.8,-155.25,10.194888052913
64.8,-155,10.200879028814
64.8,-154.75,10.24693118902
64.8,-154.5,10.334656530732
64.8,-154.25,10.452083108391
64.8,-154,10.578738739659
64.8,-153.75,10.693148030218
64.8,-153.5,10.78008484679
64.8,-153.25,10.83515511431
64.8,-153,10.865313723704
64.8,-152.75,10.885360360853
64.8,-152.5,10.911812069905
64.8,-152.25,10.956372795537
64.8,-152,11.021269685375
64.8,-151.75,11.098026569845
64.8,-151.5,11.170061034951
64.8,-151.25,11.218225896059
64.8,-151,11.227473344213
64.8,-150.75,11.192481076629
64.8,-150.5,11.120423988285
64.8,-150.25,11.029971623678
64.8,-150,10.946752015909
64.8,-149.75,10.896593905286
64.8,-149.5,10.898528259973
64.8,-149.25,10.959608288984
64.8,-149,11.073078852656
64.8,-148.75,11.22044764578
64.55,-159,10.21340267269
64.55,-158.75,10.104854870698
64.55,-158.5,9.965514427815002
64.55,-158.25,9.833627415936
64.55,-158,9.746285688415998
64.55,-157.75,9.729368685591997
64.55,-157.5,9.790255044251998
64.55,-157.25,9.915693893515002
64.55,-157,10.075659046928
64.55,-156.75,10.232119159453
64.55,-156.5,10.350081487459
64.55,-156.25,10.407545357909
64.55,-156,10.4013796813
64.55,-155.75,10.347480950495
64.55,-155.5,10.275407255177
64.55,-155.25,10.219392265239
64.55,-155,10.208657698267
64.55,-154.75,10.259960547139
64.55,-154.5,10.374384813069
64.55,-154.25,10.538887994815
64.55,-154,10.731581301006
64.55,-153.75,10.928669874724
64.55,-153.5,11.11070928056
64.55,-153.25,11.266356704302
64.55,-153,11.392849555322
64.55,-152.75,11.493618693793
64.55,-152.5,11.574334414611
64.55,-152.25,11.639032369699
64.55,-152,11.687729944237
64.55,-151.75,11.716275625733
64.55,-151.5,11.718344849955
64.55,-151.25,11.688783842422
64.55,-151,11.627104521517
64.55,-150.75,11.539920201521
64.55,-150.5,11.441438176127
64.55,-150.25,11.351670311174
64.55,-150,11.292639299795
64.55,-149.75,11.283408670409
64.55,-149.5,11.335137035581
64.55,-149.25,11.447468725282
64.55,-149,11.607375553343
64.55,-148.75,11.791059443756
64.3,-159,10.224299366199
64.3,-158.75,10.144269749206
64.3,-158.5,10.062097744926
64.3,-158.25,10.006231655282
64.3,-158,9.999858777614
64.3,-157.75,10.054030320339
64.3,-157.5,10.163918789381
64.3,-157.25,10.309661999785
64.3,-157,10.46177623571
64.3,-156.75,10.589594850329
64.3,-156.5,10.670155321481
64.3,-156.25,10.694792473478
64.3,-156,10.671457529557
64.3,-155.75,10.622193404091
64.3,-155.5,10.576747865756
64.3,-155.25,10.564454411596
64.3,-155,10.606881012048
64.3,-154.75,10.713265718508
64.3,-154.5,10.879664511547
64.3,-154.25,11.091472435983
64.3,-154,11.328006158576
64.3,-153.75,11.567459139903
64.3,-153.5,11.790804341294
64.3,-153.25,11.983918927183
64.3,-153,12.137996974704
64.3,-152.75,12.248874244104
64.3,-152.5,12.316039675976
64.3,-152.25,12.341882883641
64.3,-152,12.331319314649
64.3,-151.75,12.291588899228
64.3,-151.5,12.23190975015
64.3,-151.25,12.162805281213
64.3,-151,12.095185618419
64.3,-150.75,12.039462780221
64.3,-150.5,12.004971610035
64.3,-150.25,11.999744114347
64.3,-150,12.030376121362
64.3,-149.75,12.101538870745
64.3,-149.5,12.214789509572
64.3,-149.25,12.366743076834
64.3,-149,12.547222806796
64.3,-148.75,12.738421076262
64.05,-159,10.166598503395
64.05,-158.75,10.114131639577
64.05,-158.5,10.083180872278
64.05,-158.25,10.090377147169
64.05,-158,10.144082312064
64.05,-157.75,10.241710176993
